Draw,Draw Date,1,2,3,4,5,6,Bonus Ball,2nd Bonus Ball,Power Ball
2511,Wednesday 27 August 2025,9,12,13,14,21,32,28,,2
2510,Saturday 23 August 2025,13,16,25,17,31,24,38,,8
2509,Wednesday 20 August 2025,16,11,7,37,12,27,26,,9
2508,Saturday 16 August 2025,33,39,38,28,34,6,40,,10
2507,Wednesday 13 August 2025,10,9,15,22,27,35,25,,10
2506,Saturday 09 August 2025,19,21,11,35,6,33,27,,3
2505,Wednesday 06 August 2025,10,14,12,20,1,11,24,,10
2504,Saturday 02 August 2025,19,29,28,40,31,3,2,,9
2503,Wednesday 30 July 2025,33,5,10,27,38,28,40,,6
2502,Saturday 26 July 2025,18,37,30,9,29,34,21,,6
2501,Wednesday 23 July 2025,4,24,20,9,14,26,38,,7
2500,Saturday 19 July 2025,6,16,4,37,33,12,39,,3
2499,Wednesday 16 July 2025,31,26,33,28,8,19,2,,5
2498,Saturday 12 July 2025,20,29,18,13,17,8,38,,1
2497,Wednesday 09 July 2025,39,32,38,20,28,36,24,,7
2496,Saturday 05 July 2025,6,20,25,14,9,32,18,,4
2495,Wednesday 02 July 2025,4,26,3,40,27,6,7,,9
2494,Saturday 28 June 2025,10,31,34,21,2,22,20,,10
2493,Wednesday 25 June 2025,20,16,40,35,11,6,31,,10
2492,Saturday 21 June 2025,11,35,3,20,19,27,31,,7
2491,Wednesday 18 June 2025,28,6,11,32,23,33,19,,6
2490,Saturday 14 June 2025,1,13,7,23,2,34,9,,6
2489,Wednesday 11 June 2025,5,18,32,9,11,16,3,,1
2488,Saturday 07 June 2025,2,16,6,22,11,34,8,,4
2487,Wednesday 04 June 2025,35,11,9,14,10,6,30,,10
2486,Saturday 31 May 2025,1,2,34,29,35,32,21,,5
2485,Wednesday 28 May 2025,25,40,18,1,10,15,20,,7
2484,Saturday 24 May 2025,36,1,7,38,29,27,12,,2
2483,Wednesday 21 May 2025,6,24,5,37,3,27,17,,10
2482,Saturday 17 May 2025,15,25,22,6,2,19,5,,7
2481,Wednesday 14 May 2025,6,28,27,8,1,21,12,,9
2480,Saturday 10 May 2025,17,22,4,27,35,14,31,,6
2479,Wednesday 07 May 2025,18,11,9,26,13,36,25,,7
2478,Saturday 03 May 2025,13,22,21,23,11,1,28,,10
2477,Wednesday 30 April 2025,12,14,38,20,24,1,10,,4
2476,Saturday 26 April 2025,23,5,40,13,11,2,4,,9
2475,Wednesday 23 April 2025,10,31,24,19,22,40,37,,1
2474,Saturday 19 April 2025,29,1,4,11,9,23,2,,3
2473,Wednesday 16 April 2025,10,39,4,9,32,25,28,,6
2472,Saturday 12 April 2025,23,10,15,22,32,13,35,,2
2471,Wednesday 09 April 2025,14,21,33,8,24,15,34,,1
2470,Saturday 05 April 2025,38,27,37,21,39,3,18,,5
2469,Wednesday 02 April 2025,40,29,33,14,26,25,20,,7
2468,Saturday 29 March 2025,14,4,36,21,15,11,24,,6
